book_id,authors,original_publication_year,title,language_code,average_rating,image_url,genre_1,genre_2
2767052,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",eng,4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg,13,14
3,J.K. Rowling,1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,https://images.gr-assets.com/books/1474154022m/3.jpg,13,14
2657,Harper Lee,1960.0,To Kill a Mockingbird,eng,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg,11,14
4671,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg,14,31
11870085,John Green,2012.0,The Fault in Our Stars,eng,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg,14,31
5907,J.R.R. Tolkien,1937.0,The Hobbit,en-US,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg,13,14
5107,J.D. Salinger,1951.0,The Catcher in the Rye,eng,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg,14,
960,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg,9,11
1885,Jane Austen,1813.0,Pride and Prejudice,eng,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg,14,18
77203,Khaled Hosseini,2003.0,The Kite Runner,eng,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg,12,14
13335037,Veronica Roth,2011.0,"Divergent (Divergent, #1)",eng,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg,14,31
5470,"George Orwell, Erich Fromm, Celâl Üster",1949.0,1984,eng,4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg,14,19
7613,George Orwell,1945.0,Animal Farm,eng,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg,13,14
48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl,eng,4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg,14,18
2429135,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg,12,14
6148028,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",eng,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg,13,14
5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,https://images.gr-assets.com/books/1499277281m/5.jpg,13,14
34,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg,13,14
